CountryID,Country,Occurrence,Total deaths,Persons affected,Continent,Type of disaster,Decade
620,Portugal,2,10,3050,Europe,Hydrological,1990-1999
630,Puerto Rico,1,18,600,North America,Hydrological,1990-1999
634,Qatar,,,,Asia,Hydrological,1990-1999
178,Republic of the Congo,3,2,78500,Africa,Hydrological,1990-1999
642,Romania,8,197,163683,Europe,Hydrological,1990-1999
643,Russia,21,520,1240236,Europe,Hydrological,1990-1999
646,Rwanda,,,,Africa,Hydrological,1990-1999
662,Saint Lucia,1,0,175,North America,Hydrological,1990-1999
670,Saint Vincent and the Grenadines,1,3,200,North America,Hydrological,1990-1999
882,Samoa,,,,Oceania,Hydrological,1990-1999
682,Saudi Arabia,,,,Asia,Hydrological,1990-1999
686,Senegal,3,0,322500,Africa,Hydrological,1990-1999
688,Serbia,,,,Europe,Hydrological,1990-1999
690,Seychelles,1,5,1237,Africa,Hydrological,1990-1999
694,Sierra Leone,1,12,200000,Africa,Hydrological,1990-1999
703,Slovakia,3,56,47815,Europe,Hydrological,1990-1999
705,Slovenia,,,,Europe,Hydrological,1990-1999
90,Solomon Islands,,,,Oceania,Hydrological,1990-1999
706,Somalia,5,2434,1240600,Africa,Hydrological,1990-1999
710,South Africa,9,314,40637,Africa,Hydrological,1990-1999
410,South Korea,10,783,404450,Asia,Hydrological,1990-1999
728,South Sudan,,,,Africa,Hydrological,1990-1999
724,Spain,4,100,4529,Europe,Hydrological,1990-1999
144,Sri Lanka,17,170,3325866,Asia,Hydrological,1990-1999
729,Sudan,11,330,1509206,Africa,Hydrological,1990-1999
740,Suriname,,,,South America,Hydrological,1990-1999
756,Switzerland,3,33,0,Europe,Hydrological,1990-1999
760,Syria,,,,Asia,Hydrological,1990-1999
762,Tajikistan,11,1723,376470,Asia,Hydrological,1990-1999
834,Tanzania,11,421,408273,Africa,Hydrological,1990-1999
764,Thailand,18,527,10651922,Asia,Hydrological,1990-1999
626,Timor-Leste,,,,Asia,Hydrological,1990-1999
768,Togo,5,3,291905,Africa,Hydrological,1990-1999
780,Trinidad and Tobago,2,5,210,North America,Hydrological,1990-1999
788,Tunisia,1,37,152000,Africa,Hydrological,1990-1999
792,Turkey,10,475,1564911,Europe,Hydrological,1990-1999
795,Turkmenistan,1,0,420,Asia,Hydrological,1990-1999
